tagihan_id;mahasiswa;tanggal_jatuh_tempo;is_terlambat;nominal_tagihan;nominal_harus_bayar;jenis_pembayaran;tahun_ajaran;semester_tagihan;jenis_semester;bulan_jatuh_tempo;angkatan;kode_prodi;nama_prodi;jalur_masuk;subjalur_masuk;jenis_kelamin;statusmhs_periode;is_statusmhs_periode_missing;kps_status;is_kps_status_missing;jumlah_saudara;is_jumlah_saudara_missing;penghasilan_ortu_label;is_penghasilan_ortu_missing;pendidikan_ayah_label;is_pendidikan_ayah_missing;pendidikan_ibu_label;is_pendidikan_ibu_missing;pekerjaan_ayah;is_pekerjaan_ayah_missing;pekerjaan_ibu;is_pekerjaan_ibu_missing;prev_tagihan_count;prev_late_count;prev_late_ratio;prev_cicilan_count;prev_cicilan_ratio
2356;Mahasiswa 0551;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;PSUD;Beasiswa YPCR;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2357;Mahasiswa 0552;2015-08-31;0;3000000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;62401;Akuntansi;PSUD;Beasiswa YPCR;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2358;Mahasiswa 0553;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;PSUD;SMU;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2359;Mahasiswa 0554;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR I;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2360;Mahasiswa 0555;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR II;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2361;Mahasiswa 0556;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;2;Genap;8;2013;20402;Teknik Telekomunikasi;UMPCR;UMPCR II;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;0;0;0.0000;0;0.0000
2362;Mahasiswa 0558;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;21412;Teknik Mekatronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2363;Mahasiswa 0559;2015-08-31;0;500000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;UMPCR;UMPCR II;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;1;10.000
2364;Mahasiswa 0560;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;PSUD;SMU;L;Aktif;0;Unknown;1;1;0;Diatas 5 Juta;0;S1;0;S2;0;Karyawan Swasta;0;IRT;0;1;0;0.0000;0;0.0000
2365;Mahasiswa 0561;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;56401;Teknik Komputer;PSUD;SMK;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;1;0.5000;0;0.0000
2367;Mahasiswa 0563;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;PSUD;SMU;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2369;Mahasiswa 0565;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;21412;Teknik Mekatronika;PSUD;SMK;L;Aktif;0;Unknown;1;5;0;3 Juta;0;S1;0;S1;0;Wiraswasta;0;-;0;1;0;0.0000;0;0.0000
2370;Mahasiswa 0566;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;20402;Teknik Telekomunikasi;PSUD;SMK;L;Aktif;0;Unknown;0;1;0;4 Juta;0;SMA;0;S1;0;Buruh;0;IRT;0;3;1;0.3333;1;0.3333
3237;Mahasiswa 0566;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;6;Genap;8;2013;20402;Teknik Telekomunikasi;PSUD;SMK;L;Unknown;1;Unknown;0;1;0;4 Juta;0;SMA;0;S1;0;Buruh;0;IRT;0;3;1;0.3333;1;0.3333
2371;Mahasiswa 0567;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;PSUD;SMU;L;Aktif;0;Unknown;0;3;0;2 Juta;0;SMP;0;SMP;0;Buruh;0;IRT;0;2;0;0.0000;1;0.5000
2372;Mahasiswa 0568;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;21412;Teknik Mekatronika;UMPCR;UMPCR II;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
